何事[なにごと;h]も
お兄[あん;a]ちゃん
乳[ちち;o,a]
受け止[うけと,うけとめる;k4,h]める
処刑[しょけい;h]
思い込[おもいこ,おもいこむ;k4,h,k2]む
こうやって[,やる;h]
池田[いけだ;h]
仇[あだ;o]
仰向[あおむ;h]け
同様[どうよう;h]に
ながい[,ながい;k2]
伊豆[いず;h]
銃声[じゅうせい;h]
北条[ほうじょう;a]
締[し,しめる;k2]める
悔[くや,くやしい;k3]しい
劣[おと,おとる;k2,h]る
驚愕[きょうがく;h]
等々力[とどりき;n2]
経[きょう;h]
一流[いちりゅう;h]
退[しさ,しさる;k2]る
最[さい;a]
ところ[;h]どころ
酔[よ;o,a,h]い
なおる[,なおる;k2]
郷[きょう;a]
こわばる[,こわばる;k3]
別人[べつじん;h]
黒人[こくじん;h]
接[はぎ,せっす;h]す
センター[;a]
劇[げき;a]
みじめ[;a]
秩序[ちつじょ;a,n2]
階級[かいきゅう;h]
或[ある;n2]いは
踏み込[ふみこ,ふみこむ;k3]む
長年[ながねん;h]
精一杯[せいいっぱい;n3]
一礼[いちれい;h]
ローズ[;a]
しずか[;a]
奇跡[きせき;h,n2]
伝統[でんとう;h]
週刊誌[しゅうかんし;n3]
両人[りょうにん;a]
荒[あ,あれる;h]れる
一団[いちだん;h,n2]
復活[ふっかつ;h]
給料[きゅうりょう;a]
しょっちゅう[;a]
社会的[しゃかいてき;h]
茫然[ぼうぜん;h]
かろうじて[;n2,h]
利[り;o,h]
デザイン[;n2]
向こう側[むこうがわ;h]
翻訳[ほんやく;h]
職員[しょくいん;n2]
コンピューター[;n3]
履[は,はく;h]く
たく[,たく;h]
出張[しゅっちょう;h]
はおる[,おる;k1]
なら[,ならべる;k1]べる
ゆったり[;n3]
三島[さんとう;h]
後半[こうはん;h]
上等[じょうとう;h]
出世[しゅっせ;h]
能[のう;a,h]
季[き;o]
褒[ほ,ほめる;k2]める
もん[;a]か
ふくらむ[,ふくらむ;h]
無造作[むぞうさ;n2]
すえる[,すえる;k2]
繋[つな,つながる;h]がる
盆[ぼん;h]
何人[なにびと;h]も
怪訝[けげん;h]
未[ま;a]だ
部落[ぶらく;a]
小鳥[ことり;h]
少将[しょうしょう;a]
比較的[ひかくてき;h]
ぐったり[;n3]
湿[しめ,しめる;h]る
研究所[けんきゅうじょ;h,o]
ピンク[;a]
金額[きんがく;h]
かなた[;a]
始[はじ;h]め
歓声[かんせい;h]
昨年[さくねん;h]
真っ白[まっしろ;n3]
誕生日[たんじょうび;n3]
身長[しんちょう;h]
専門家[せんもんか;h]
持[も;o]ち
酷[ひど,ひどい;k2]い
長老[ちょうろう;h]
とび出[とびで,とびでる;k3]る
信夫[のぶお;h]
表紙[ひょうし;o,h]
抜け出[ぬけだ,ぬけだす;k3]す
明石[あかし;a]
郊外[こうがい;a]
猪[いのしし;n3]
はなす[,なす;k1]
一定[いってい;h]
手[て;a,n2]のひら
失踪[しっそう;h]
掛[か,かかる;k2]かる
未知[みち;a]
毛皮[けがわ;h]
つっこむ[,つっこむ;k3]
定[さだめ;h]
転[ころ,ころぶ;h]ぶ
トップ[;a]
アルバイト[;n3]
樽[たる;h]
体内[たいない;a]
先祖[せんぞ;a]
私[わたくし;n5]ども
芸者[げいしゃ;h]
横目[よこめ;h]
シルク[;a]
発想[はっそう;h]
協会[きょうかい;h]
初期[しょき;a]
見逃[みのが,みのがす;h,k3]す
乞食[こじき;o]
召[め,めす;k1]す
生み出[うみだ,うみだす;k3]す
がい[,いる;h]
まり子[まりこ;a]
死刑[しけい;n2]
近代[きんだい;a]
決断[けつだん;h]
仕方[しかた;n4]なく
木戸[きど;a]
断[こと,ことわる;k3]わる
暫[しばら;n2]く
痙攣[けいれん;h]
故[ゆえ;n2]に
角度[かくど;a]
封[ふう;a]
何一[なにひと;a,n4,an2]つ
もしくは[;a]
遺跡[いせき;h]
真夜中[まよなか;n2]
麻美[あさみ;h]
数々[かずかず;a]
中隊[ちゅうたい;h]
亜由美[あゆみ]
厳重[げんじゅう;h]
見据[みす,みすえる;h,k3]える
愕然[がくぜん;h]
茂[しげ;h,o]み
車内[しゃない;a]
えらぶ[,えらぶ;k2]
所長[しょちょう;h]
上昇[じょうしょう;h]
現金[げんきん;n3]
強調[きょうちょう;h]
辛抱[しんぼう;a]
頂戴[ちょうだい;n3]
斧[おの;a]
燃[も,もやす;h]やす
おかあさん[;n2]
要[よう;a]
とどける[,とどける;k3]
棺[かん;a]
見覚[みおぼ;h]え
あっという間[あっとゆうま;a,h]に
突[つ;h]き
次[つぎ;o]のように
形成[けいせい;h]
成果[せいか;a]
ぬぐう[,ぬぐう;k2,h]
おし[;h]
綾子[りんず;h,a]
木立[こだち;a,h]
突[つ,つきつける;k4]きつける
かげる[,かげる;k2]
買い物[かいもの;h]
おそらく[;n2]は
ライン[;a]
軍勢[ぐんぜい;h,a]
関東[かんとう;a]
はずれ[;h]
レコード[;n2,a]
功[こう;a]
陰気[いんき;h]
文書[ぶんしょ;a]
さまよう[;n3]
切断[せつだん;h]
芝[しば;h]
平成[へいせい;h]
念[ねん;h,o]のため
賊[ぞく;h]
からむ[,からむ;k2]
メッセージ[;a]
牢[ろう;a]
橘[たちばな;n2]
王宮[おうきゅう;h]
走[はし;o]り
コピー[;a]
浮かび上[うかびあ,うかびあがる;k5]がる
従[したが,したがって;h,k3]って
誤[あやま,あやまる;k3]る
しぼる[,しぼる;k2]
結婚式[けっこんしき;n3]
リング[;a]
発[た,たつ;k1]つ
なみ[;o]
甲高[かんだか,かんだかい;k4]い
敷地[しきち;h]
見抜[みぬ,みぬく;k2,h]く
ぶらぶら[;a]
見[み;o]え
つぎつぎ[;n2]
建築[けんちく;h]
たびたび[;h]
呆然[ぼうぜん;h]
しるし[;h]
ちらっと[;n2]
ユダヤ人[ゆだやじん;n3]
名古屋[なごや;a]
支払[しはら,しはらう;k3]う
神戸[こうべ;a]
追放[ついほう;h]
かざす[,かざす;h,k2]
顔立[かおだ;h]ち
早口[はやくち;n2]
本格的[ほんかくてき;h]
刑務所[けいむしょ;n3,h,o]
はし[,する;h]
久美子[くみこ;a]
間近[まじか;a,h]
翁[おきな;a,h]
しゃがむ[,しゃがむ;h]
俊[しゅん;a]
聞[き,きこえ;h]こえ
侍女[じじょ;a]
願[がん;a]
日頃[ひごろ;h]
高[たか;n3]まる
記述[きじゅつ;h]
たいそう[;a]
のこす[,こす;h,k1]
沿[そ,そう;h,k1]う
お嬢様[おじょうさま;n2]
引き取[ひきと,ひきとる;k3]る
フロント[;h]
予期[よき;a]
虹[にじ;h]
話[はな,はなせる;k3]せる
名人[めいじん;n3]
造[つく;o]り
地下室[ちかしつ;n2]
今更[いまさら;h,a]
紗[しゃ;h]
徐[じょ;h]
頁[おおがい;a]
一寸[いっすん;n3]
甥[おい;h]
消息[しょうそく;h]
身内[みうち;h]
貝[かい;a]
白髪[しらが;o]
ロボット[;a,n2]
各地[かくち;a]
あいさつ[;a]
ふらふら[;h]
担[かつ,かつぐ;k2]ぐ
おそれる[,おそれる;k3]
すっと[;h,a]
地味[じみ;o]
子[こ;n3]どもたち
ネズミ[;h]
むき[;a]
カール[;a]
言い聞[いいき,いいきかせる;k5]かせる
イエス[;n2]
おいた[,おいた;k2,k1]
取[と;o]り
凝[こ,こる;k1]る
くり[;o]
かり[;h]に
さとる[,さとる;h,k2]
咲[えみ;a]
最低[さいてい;h]
つき合[つきあ]う
連隊[れんたい;h]
努[つと,つとめる;k3]める
悪意[あくい;a,n2]
ふかい[,ふかい;h]
思い浮[おもいう,おもいうかべる;k6]かべる
費用[ひよう;a]
時には[ときにわ;n2]
権威[けんい;a]
ときに[;n2]は
丁目[ちょうめ;o]
不利[ふり;a]
後藤[ごとう;h]
海外[かいがい;a]
路上[ろじょう;h]
いいかげん[;h,a]
クリ[;o]
歩道[ほどう;h]
儂[わし;h]
砕[くだ,くだく;k2]く
ばれる[,ばれる;k2]
引き上[ひきあ,ひきあげる;k4]げる
神話[しんわ;h]
サム[;a]
拷問[ごうもん;h]
ゆれる[,ゆれる;h]
ぎりぎり[;a]
つくづく[;n3]
寛[かん;a]
当日[とうじつ;h]
躯[むくろ;h,o]
足下[あしもと;n3]
うろたえる[,うろたえる;k4,h]
午前中[ごぜんちゅう;h]
交際[こうさい;h]
事柄[ことがら;h,o]
講義[こうぎ;a,o]
忍者[にんじゃ;a]
受付[うけつけ;h]
拒絶[きょぜつ;h]
無茶[むちゃ;a]
宿[やど,やどる;k2]る
一杯[いっぱい;a]
当[あ;h]て
刹那[せつな;a,h]
菜[な;o]
烈[はげ,はげしい;k3]しい
主君[しゅくん;a,n2]
包囲[ほうい;a]
真[しん;a]に
長身[ちょうしん;h]
めざす[,めざす;k2]
成[なり;o]
化け物[ばけもの;n3,o]
暗[くら;h]がり
そろえる[,そろえる;k3]
たて[;a]
きわまる[,きわまる;k3]
愛想[あいそ;o]
並[なみ;h]
広島[ひろしま;h]
菓子[かし;a]
黒田[くろた;h]
いちおう[;h]
映[うつ,うつす;k2]す
お目[おめ;h]
反射[はんしゃ;h]
ダム[;a]
姓[せい;a]
迷[まよ;n2,o]い
乱[みだ,みだす;k2]す
かばう[,かばう;k2]
敏感[びんかん;h]
応援[おうえん;h]
つかれる[,つかれる;k3]
大通[おおどお;n3]り
はまる[;h]
設計[せっけい;h]
強盗[ごうとう;h]
繋[つな,つなぐ;h]ぐ
逸[そ,そらす;k2]らす
豊[ゆたか;a]
青春[せいしゅん;h]
悪党[あくとう;n3]
収入[しゅうにゅう;h]
女人[にょにん;h,a]
馬鹿[ばか;a]に
手入[てい;o,a]れ
パソコン[;h]
刊行[かんこう;h]
嘆[なげ,なげく;k2]く
尼[あま;a]
蔭[かげ;a]
なして[,ない;k1]
獲得[かくとく;h]
美濃[みの;a]
大坂[おおさか;h]
引き抜[ひきぬ,ひきぬく;k3]く
追[お,おいつめる;k4]いつめる
記念[きねん;h]
大[おお;h]げさ
首都[しゅと;a,o]
一般的[いっぱんてき;h]
即[すなわ;n2]ち
歓喜[かんき;a]
曲[まが,まがる;h]る
エル[;a]
くりかえし[,くりかえし;h]
春香[はるか;a]
まなざし[;h]
上京[じょうきょう;h]
放棄[ほうき;a]
織[お,おる;k1]る
楯[たて;a]
まり[;o]
国際[こくさい;h]
尊[たっと,とうとい;k3]い
泰[たい;a]
細工[さいく;o,h]
ろう[;a]
大使[たいし;a]
吊[つ,つる;h]る
先[ま;a]ず
マッチ[;a]
埋[う,うまる;h]まる
従業員[じゅうぎょういん;n3]
通用[つうよう;h]
